score,review,Name,y
5,"라운딩 후 기력보충으로 장어로 정해서 먹었는데 메뉴선택, 매장선택이 좋았습니다",청명산민물장어 영통점,1
5,날이더워고민했는데 그래도 맛있게 먹고나니 기분좋습니다.,청명산민물장어 영통점,1
5,실하고 좋네요~~   오랜만에 가족식사 나왔어요. 사람 많고 맛있었어요,청명산민물장어 영통점,1
5,청명산장어오면 다른곳못가죠 ㅎ,청명산민물장어 영통점,1
5,너무너무맛있어요~~ 몸보신해야 살죠~,청명산민물장어 영통점,1
5,룸이 갖춰져있어서 종종갑니다 음식훌륭하구요,삼학도,1
5,병어회 진짜 먹기힘든 음식인데 귀하게 잘먹고갑니다,삼학도,1
5,남도음식전문점,삼학도,1
5,훌륭합니다,삼학도,1
5,민어회정말 기가막히네요 역시 삼학도입니다!!!,삼학도,1
5,,티철판요리전문점,1
5,어버이날 맞이해서 왓능데 코로나 시국에 룸에가가 철판요리 중간중간 불쇼도 해주고 개그도 해주셔서 요리시간 내내 쇼같앗어요 아주 죠으네요,티철판요리전문점,1
5,남 데려가기 좋은 곳 ,티철판요리전문점,1
5,아 너무 맛있다,티철판요리전문점,1
5,"분위기 좋고 맛도 매우 좋아요. 친절은 덤~~^^ 춘장소스,야채소스,해산물소스,스테이크소스들이 철판에서 막 구워진 요리의 맛에 각각 깊은 맛을 더해줍니다. 다음에 기회되면 또 가고 싶어요!",티철판요리전문점,1
3,,신라갈비,0
4,"가보정,신라갈비는 인정",신라갈비,1
4,맛있네요! 고기가 살짝 질긴 감은 있었어요.,신라갈비,1
1,불친절하고 고기 및 갈비탕 등 맛없음 두 번 다시 갈  곳이 못됨,신라갈비,0
2,"구워주는 사람이 누구냐에 따라 맛이 다르다... 이번에 갔을 때는 거의 내쫓기듯이 먹고 왔다 먹는 사람 생각안하고 쎈불에 고기 다 구워서  타고, 질기고 맛없는 고기를 먹었다",신라갈비,0
5,핵핵 맛있음 게속 재방문중 서비스로 받은 연어 스테이크도 너무 맛있었음ㅠㅠ,오늘의초밥,1
